Actor:Actor,EpisodeCount:EpisodeCount,LastOccurence:LastOccurence
Actor:Kenan Thompson,EpisodeCount:353,LastOccurence:2020
Actor:Seth Meyers,EpisodeCount:255,LastOccurence:2018
Actor:Fred Armisen,EpisodeCount:238,LastOccurence:2020
Actor:Kate McKinnon,EpisodeCount:179,LastOccurence:2020
Actor:Cecily Strong,EpisodeCount:174,LastOccurence:2020
Actor:Bill Hader,EpisodeCount:167,LastOccurence:2020
Actor:Maya Rudolp,EpisodeCount:166,LastOccurence:2020
Actor:Will Forte,EpisodeCount:159,LastOccurence:2016
Actor:Tina Fey,EpisodeCount:154,LastOccurence:2020
Actor:Tracy Morgan,EpisodeCount:154,LastOccurence:2019
Actor:Amy Poehler,EpisodeCount:153,LastOccurence:2020
Actor:Will Ferrell,EpisodeCount:151,LastOccurence:2019
Actor:Rachel Dracht,EpisodeCount:150,LastOccurence:2020
Actor:Colin Jost,EpisodeCount:149,LastOccurence:2020
Actor:Kristen Wiig,EpisodeCount:145,LastOccurence:2020
Actor:Andy Samberg,EpisodeCount:144,LastOccurence:2018
Actor:Michael Che,EpisodeCount:132,LastOccurence:2020
Actor:Pete Davidson,EpisodeCount:132,LastOccurence:2020
Actor:Alec Baldwin,EpisodeCount:65,LastOccurence:2020
Actor:Julia Louis-Dreyfus,EpisodeCount:60,LastOccurence:2016
Actor:Jenny Slate,EpisodeCount:22,LastOccurence:2010
Actor:Steve Martin,EpisodeCount:32,LastOccurence:2019
Actor:Martin Short,EpisodeCount:28,LastOccurence:2020
Actor:Nancy Carell,EpisodeCount:22,LastOccurence:2018
Actor:Steve Carell,EpisodeCount:18,LastOccurence:2018
Actor:Tom Hanks,EpisodeCount:18,LastOccurence:2020
Actor:John Mulaney,EpisodeCount:14,LastOccurence:2020
